Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Expert;DeLonghi;95816;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;95816.jpg;Active;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
Expert;Krups;96104;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96104.jpg;Active;;Για μηχανές με σειριακό αριθμό μεγαλύτερο από 17234
Expert;Krups/Delonghi;96137;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;96137.jpg;Active;;Για μηχανές με σειριακό αριθμό μεγαλύτερο από 17234
Expert;DeLonghi;96136;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96136.jpg;Active;;Για μηχανές με σειριακό αριθμό μεγαλύτερο από 17234
Expert;Krups/Delonghi;95813;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;95813.jpg;Active;;
Expert;Krups/Delonghi;95814;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;OL;95814.jpg;Active;;
Expert & Milk Aero 3;–;95959;Καπάκι;Lid;Milk System;OL;no.png;Active;;
Expert & Milk Aero 3;Krups;95855;Συσκευή Γαλατιέρας;Milk Frother;Milk System;OL;95855.jpg;Active;;
Expert & Milk Aero 3;DeLonghi;95856;Συσκευή Γαλατιέρας;Milk Frother;Milk System;OL;95856.jpg;Active;;
Unbranded;Krups;SP-57546;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;SP-57546.jpg;Active;;
Unbranded;Unbranded;91075;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;91075.jpg;Active;;
Unbranded;Krups;SP-39142;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;SP-39142.jpg;Active;;
Unbranded;Krups;SP-39150;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;SP-39150.jpg;Active;;
Unbranded;DeLonghi;SP-51253;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;SP-51253.jpg;Active;;
Unbranded;DeLonghi;91076;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;91076.jpg;Active;;
Unbranded;DeLonghi;SP-39143;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;SP-39143.jpg;Active;;
Unbranded;DeLonghi;SP-39151;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;SP-39151.jpg;Active;;
U;Krups;93254;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;93254.jpg;Active;;
U;DeLonghi;93255;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;93255.jpg;Active;;
U;–;93258;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;93258.jpg;Active;;
U;–;93939;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;93939.jpg;Phased Out;;
U;Krups/Delonghi;93259;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;93259.jpg;Active;;
U;Krups;93256;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;;;;;
U;DeLonghi;93257;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;;;;;
Lattissima Plus;;93112;Δοχείο Καψουλών Λευκό;Capsule Container White;Capsule Container / Grid;OL;93112.jpg;Active;;
Lattissima Plus;;93113;Δοχείο Καψουλών Μπλε;Capsule Container Blue;Capsule Container / Grid;OL;93113.jpg;Active;;
Lattissima Plus;;93303;Δοχείο Καψουλών Μαύρο;Capsule Container Black;Capsule Container / Grid;OL;no.png;Active;;
Lattissima Plus;;93111;Δοχείο Καψουλών Ασημί;Capsule Container Silver;Capsule Container / Grid;OL;93111.jpg;Active;;
Lattissima Plus;;93114;Δοχείο Καψουλών Κόκκινο;Capsule Container Red;Capsule Container / Grid;OL;93114.jpg;Active;;
Lattissima Plus;;93109;Δίσκος Αποστράγγισης Μπλε;Drip Tray Blue;Drip Tray / Grid;OL;93109.jpg;Active;;
Lattissima Plus;;93110;Δίσκος Αποστράγγισης Κόκκινος;Drip Tray Red;Drip Tray / Grid;OL;93110.jpg;Active;;
Lattissima Plus;;93304;Δίσκος Αποστράγγισης Μαύρος;Drip Tray Black;Drip Tray / Grid;OL;93304.jpg;Active;;
Lattissima Plus;;93108;Δίσκος Αποστράγγισης Λευκός;Drip Tray White;Drip Tray / Grid;OL;93108.jpg;Active;;
Lattissima Plus;;93107;Δίσκος Αποστράγγισης Ασημί;Drip Tray Silver;Drip Tray / Grid;OL;93107.jpg;Active;;
Lattissima Plus;–;95487;Δίσκος Αποστράγγισης Κόκκινος;Red Drip Tray;Drip Tray / Grid;OL;95487.jpg;Active;;
